t=2026-07-10T17:13:06+0530 lvl=info msg="no configuration paths supplied"
t=2026-07-10T17:13:06+0530 lvl=info msg="using configuration at default config path" path="/Users/gokulgautham/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-10T17:13:06+0530 lvl=info msg="open config file" path="/Users/gokulgautham/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-07-10T17:13:06+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-10T17:13:07+0530 lvl=info msg="update available" obj=updater
t=2026-07-10T17:13:08+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-10T17:13:08+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-10T17:13:09+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://28a3-106-51-109-211.ngrok-free.app
t=2026-07-10T17:13:11+0530 lvl=info msg=start pg=/api/tunnels id=467c0d0dbc81b99d
t=2026-07-10T17:13:11+0530 lvl=info msg=end pg=/api/tunnels id=467c0d0dbc81b99d status=200 dur=480.083µs
t=2026-07-10T17:16:01+0530 lvl=info msg="join connections" obj=join id=f79b075b533c l=127.0.0.1:8000 r=[2a02:26f7:d6c1:6805:0:c000:0:1]:40868
t=2026-07-10T17:19:15+0530 lvl=info msg="join connections" obj=join id=b1c71cc4ee94 l=127.0.0.1:8000 r=[2a02:26f7:d6c1:6805:0:c000:0:1]:22268
t=2026-07-10T17:28:50+0530 lvl=info msg="join connections" obj=join id=4b32df8b11bd l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:29:05+0530 lvl=info msg="join connections" obj=join id=46cb00875a3e l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:29:09+0530 lvl=info msg="join connections" obj=join id=37fee420b182 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:29:52+0530 lvl=info msg="join connections" obj=join id=82c8aa7e422f l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:30:14+0530 lvl=info msg="join connections" obj=join id=3541c172a29a l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:30:27+0530 lvl=info msg="join connections" obj=join id=5757653a0f2b l=127.0.0.1:8000 r=106.51.109.211:40708
t=2026-07-10T17:30:34+0530 lvl=info msg="join connections" obj=join id=acb024bb5186 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:30:49+0530 lvl=info msg="join connections" obj=join id=427dbc00a62a l=127.0.0.1:8000 r=106.51.109.211:40708
t=2026-07-10T17:30:54+0530 lvl=info msg="join connections" obj=join id=412acdcd7f99 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:30:59+0530 lvl=info msg="join connections" obj=join id=e7afa14d6240 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:31:07+0530 lvl=info msg="join connections" obj=join id=ebb78bc07895 l=127.0.0.1:8000 r=106.51.109.211:46436
t=2026-07-10T17:31:09+0530 lvl=info msg="join connections" obj=join id=8bbbbdd5b366 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:31:19+0530 lvl=info msg="join connections" obj=join id=c5e59006240f l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:31:39+0530 lvl=info msg="join connections" obj=join id=5b070647af7d l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:31:44+0530 lvl=info msg="join connections" obj=join id=eb1ce6e4c0b7 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:31:48+0530 lvl=info msg="join connections" obj=join id=65b8d2a92997 l=127.0.0.1:8000 r=106.51.109.211:46436
t=2026-07-10T17:31:54+0530 lvl=info msg="join connections" obj=join id=96d2f230b8c3 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:31:56+0530 lvl=info msg="join connections" obj=join id=33cbf2814ed0 l=127.0.0.1:8000 r=106.51.109.211:46436
t=2026-07-10T17:32:04+0530 lvl=info msg="join connections" obj=join id=026388af166f l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:32:16+0530 lvl=info msg="join connections" obj=join id=9c94daa9de9e l=127.0.0.1:8000 r=106.51.109.211:46436
t=2026-07-10T17:32:22+0530 lvl=info msg="join connections" obj=join id=a4508a95c253 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:32:29+0530 lvl=info msg="join connections" obj=join id=34828907dc3d l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:32:29+0530 lvl=info msg="join connections" obj=join id=41c80d5acc92 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:32:29+0530 lvl=info msg="join connections" obj=join id=9f8db3499d41 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:32:41+0530 lvl=info msg="join connections" obj=join id=04c4c372c5b6 l=127.0.0.1:8000 r=106.51.109.211:46436
t=2026-07-10T17:32:43+0530 lvl=info msg="join connections" obj=join id=e20cdaae5229 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:32:46+0530 lvl=info msg="join connections" obj=join id=d55db92b8c72 l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:32:51+0530 lvl=info msg="join connections" obj=join id=649142339ac1 l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:32:53+0530 lvl=info msg="join connections" obj=join id=d6caa4f763a1 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:32:59+0530 lvl=info msg="join connections" obj=join id=dcbccd780793 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:33:19+0530 lvl=info msg="join connections" obj=join id=62d985f1313d l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:33:29+0530 lvl=info msg="join connections" obj=join id=f336e40200d7 l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:33:29+0530 lvl=info msg="join connections" obj=join id=a98a7ccca7df l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:33:44+0530 lvl=info msg="join connections" obj=join id=b11d5c8595f7 l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:33:49+0530 lvl=info msg="join connections" obj=join id=11384f4b2b44 l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:33:50+0530 lvl=info msg="join connections" obj=join id=0b38937008d6 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:34:04+0530 lvl=info msg="join connections" obj=join id=7a316b7fec86 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:34:23+0530 lvl=info msg="join connections" obj=join id=89fe9ce7ad74 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:34:33+0530 lvl=info msg="join connections" obj=join id=7b1d78cda6d8 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:34:38+0530 lvl=info msg="join connections" obj=join id=d9f4f598c778 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:34:48+0530 lvl=info msg="join connections" obj=join id=d50da13bb49e l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:34:58+0530 lvl=info msg="join connections" obj=join id=e34b914298f6 l=127.0.0.1:8000 r=106.51.109.211:48932
